place,humidity_1,humidity_2,humidity_3,humidity_4,humidity_5,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,fenophase,sugar_percent,acid_percent,fenols_percent,alkans_percent,latitude,longitude,evi,previous_stage_success,temperature_forecast_1,temperature_forecast_2,temperature_forecast_3,temperature_forecast_4,temperature_forecast_5,rain_1,rain_2,rain_3,rain_4, rain_5,density,output
9,80,80,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9142104358643827,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.05210271667233
9,80,80,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8720151646196271,0.74,25,23,24,29,27,0,1,1,1,0,6267,27.025263366310785
7,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.781768437049675,0.8,25,23,28,29,27,0,1,1,1,0,6200,31.981436061123038
3,80,80,77.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8197873009114847,0.55,25,23,28,29,27,0,1,1,1,0,6067,27.969213795803597
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9366570338006541,0.91,25,23,28,29,27,0,1,1,1,0,6267,36.23431465379711
10,80,80,79.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8413218672597621,0.84,25,23,28,29,27,0,1,1,1,0,6300,49.48952160351542
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9288512323647757,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.54939250789447
8,80,80,76.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.782853857845764,0.72,25,23,28,29,27,0,1,1,1,0,6233,13.886542932962513
3,80,80,84.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8880420180299662,0.55,25,23,28,29,27,0,1,1,1,0,6067,30.29790414455179
3,80,80,83.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8844702438321617,0.55,25,23,28,29,27,0,1,1,1,0,6067,30.17604361309728
