place,1st_humidity,2nd_humidity,3rd_humidity,4th_humidity,5th_humidity,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Fenophase,sugar_percent,acid_percent,fenols_percent,Alkans_percent,latitude,longitude,EVI,Previous_stage_success,temperature_forecast-1 day,temperature_forecast-2 day,temperature_forecast-3 day,temperature_forecast-4 day,temperature_forecast-5 day,is_rain_1 day,is_rain_2 day,is_rain_3 day,is_rain_4 day,is_rain_5 day,density,output
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9281731737550524,0.91,25,23,28,29,27,0,1,1,1,0,6267,57.0
9,80,80,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8902910744098362,0.74,25,23,24,29,27,0,1,1,1,0,6267,59.0
7,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8290772584273172,0.8,25,23,28,29,27,0,1,1,1,0,6200,81.0
3,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8264602752311343,0.55,25,23,28,29,27,0,1,1,1,0,6067,45.0
9,80,75,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9750722312198373,0.91,25,23,28,29,27,0,1,1,1,0,6267,65.0
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8746068453660444,0.84,25,23,28,29,27,0,1,1,1,0,6300,79.0
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9325826352012795,0.91,25,23,28,29,27,0,1,1,1,0,6267,58.0
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8250229656021438,0.72,25,23,28,29,27,0,1,1,1,0,6233,42.0
3,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.828430753682501,0.55,25,23,28,29,27,0,1,1,1,0,6067,49.0
3,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8435015728593112,0.55,25,23,28,29,27,0,1,1,1,0,6067,49.0
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8749535056357981,0.84,25,23,28,29,27,0,1,1,1,0,6300,77.0
1,80,80,76.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6290973799675834,0.55,25,23,28,29,27,0,1,1,1,0,6000,31.0
9,80,75,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9665127723107931,0.91,25,23,28,29,27,0,1,1,1,0,6267,66.0
1,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8571262251629058,0.55,25,23,28,29,27,0,1,1,1,0,6000,29.0
